_id,Vorname,Anzahl,Geschlecht
1,Leon,107,m
2,Maximilian,105,m
3,Emilia,89,w
4,Paul,89,m
5,Noah,83,m
6,Anton,80,m
7,Jakob,80,m
8,Felix,78,m
9,Leo,74,m
10,Elias,72,m
11,Emma,71,w
12,Jonas,70,m
13,Mia,70,w
14,Mila,67,w
15,Marie,66,w
16,Liam,65,m
17,Lea,63,w
18,Charlotte,61,w
19,Luca,61,m
20,David,60,m
21,Ludwig,60,m
22,Theodor,58,m
23,Emil,57,m
24,Lina,57,w
25,Sophia,57,w
26,Lukas,56,m
27,Valentin,56,m
28,Clara,55,w
29,Theo,54,m
30,Antonia,53,w
31,Levi,53,m
32,Luisa,53,w
33,Sofia,53,w
34,Olivia,52,w
35,Sophie,52,w
36,Anna,51,w
37,Emily,51,w
38,Julian,51,m
39,Lara,51,w
40,Luis,50,m
41,Oskar,50,m
42,Amelie,48,w
43,Matteo,48,m
44,Jonathan,47,m
45,Lena,47,w
46,Louis,47,m
47,Moritz,47,m
48,Alexander,46,m
49,Elena,46,w
50,Nora,46,w
51,Leonie,45,w
52,Vincent,45,m
53,Ella,44,w
54,Paula,44,w
55,Ben,43,m
56,Benjamin,43,m
57,Samuel,43,m
58,Hanna,42,w
59,Helena,42,w
60,Maria,40,w
61,Henry,39,m
62,Ida,39,w
63,Johanna,39,w
64,Frida,38,w
65,Mathilda,38,w
66,Laura,36,w
67,Luna,36,w
68,Valentina,36,w
69,Alma,35,w
70,Leni,35,w
71,Luka,35,m
72,Daniel,34,m
73,Leonardo,34,m
74,Ferdinand,33,m
75,Rafael,33,m
76,Carlo,32,m
77,Konstantin,32,m
78,Adam,31,m
79,Cleo,31,w
80,Hannah,31,w
81,Lia,31,w
82,Linus,31,m
83,Amalia,30,w
84,Finn,30,m
85,Gabriel,30,m
86,Isabella,30,w
87,Marlene,30,w
88,Maya,30,w
89,Ava,29,w
90,Elisa,29,w
91,Matilda,29,w
92,Philipp,29,m
93,Romy,29,w
94,Sara,29,w
95,Max,28,m
96,Raphael,28,m
97,Leopold,27,m
98,Victoria,27,w
99,Julia,26,w
100,Leonard,26,m
101,Milan,26,m
102,Nina,26,w
103,Zoe,26,w
104,Malik,25,m
105,Toni,25,m
106,Carl,24,m
107,Jonah,24,m
108,Kian,24,m
109,Louisa,24,w
110,Milo,24,m
111,Niklas,24,m
112,Adrian,23,m
113,Alina,23,w
114,Elisabeth,23,w
115,Fabian,23,m
116,Kilian,23,m
117,Paulina,23,w
118,Carlotta,22,w
119,Elina,22,w
120,Emilio,22,m
121,Frieda,22,w
122,Hana,22,w
123,Henri,22,m
124,Maja,22,w
125,Mateo,22,m
126,Ada,21,w
127,Joshua,21,m
128,Julius,21,m
129,Livia,21,w
130,Nicolas,21,m
131,Sarah,21,w
132,Ayla,20,w
133,Hamza,20,m
134,Lotta,20,w
135,Amar,19,m
136,Aras,19,m
137,Aurelia,19,w
138,Benedikt,19,m
139,Carla,19,w
140,Franz,19,m
141,Magdalena,19,w
142,Rosalie,19,w
143,Simon,19,m
144,Tim,19,m
145,Xaver,19,m
146,Aurora,18,w
147,Dua,18,w
148,Johann,18,m
149,Karl,18,m
150,Lorenz,18,m
151,Michael,18,m
152,Mira,18,w
153,Noel,18,m
154,Stella,18,w
155,Arthur,17,m
156,Lilly,17,w
157,Linda,17,w
158,Lisa,17,w
159,Luise,17,w
160,Mara,17,w
161,Rosa,17,w
162,Sebastian,17,m
163,Thea,17,w
164,Viktoria,17,w
165,Alba,16,w
166,Alva,16,w
167,Chiara,16,w
168,Fiona,16,w
169,Ilyas,16,m
170,Levin,16,m
171,Malia,16,w
172,Marlon,16,m
173,Aaron,15,m
174,Anastasia,15,w
175,Elian,15,m
176,Filip,15,m
177,Freya,15,w
178,Jan,15,m
179,Jana,15,w
180,Jona,15,m
181,Josefine,15,w
182,Josephine,15,w
183,Klara,15,w
184,Mohammad,15,m
185,Oscar,15,m
186,Philippa,15,w
187,Zayn,15,m
188,Caspar,14,m
189,Constantin,14,m
190,Eva,14,w
191,Fritz,14,m
192,Ivan,14,m
193,Liya,14,w
194,Melina,14,w
195,Mina,14,w
196,Nico,14,m
197,Pauline,14,w
198,Rayan,14,m
199,Timo,14,m
200,Alice,13,w
201,Amina,13,w
202,Amira,13,w
203,Arian,13,m
204,Diana,13,w
205,Dominik,13,m
